id,name,slug,description,latitude,longitude,rating,price_level,image_url,created_at,updated_at
49c7bb58-1f6a-42eb-857b-141e9bd191f3,Gateway of India,gateway-of-india,Iconic arch-monument facing the Arabian Sea.,18.922,72.8347,4.8,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
4d98751d-06fc-4591-880a-63c9f82d8f17,Marine Drive,marine-drive,Promenade with sweeping bay views; perfect for sunsets.,18.9433,72.8238,4.5,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
0d078115-9d73-4f9b-afba-10065b596beb,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,chhatrapati-shivaji-maharaj-vastu-sangrahalaya,Premier museum showcasing art & history.,18.926,72.8327,4.8,1,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
4ea3dc45-28b6-443d-ba24-afd95508e696,Elephanta Caves,elephanta-caves,UNESCO-listed cave temples on Elephanta Island.,18.9643,72.9316,4.2,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
91c12bd3-1796-4686-992d-d20985f64bfd,Siddhivinayak Temple,siddhivinayak-temple,Famous temple devoted to Lord Ganesha.,19.0176,72.8305,4.5,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
cd92e185-4937-42ca-b16a-8881928a86c3,Haji Ali Dargah,haji-ali-dargah,Mosque and tomb on a small islet accessible via causeway.,18.9823,72.8087,4.8,1,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
e19ecee3-8793-4db1-82aa-273ad8ccfec2,Bandra-Worli Sea Link Viewpoint,bandra-worli-sea-link-viewpoint,Bridge views and photo spot.,19.0169,72.8179,4.3,1,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
26bb0951-0964-4d78-8865-370721bb190f,Juhu Beach,juhu-beach,Popular sandy beach with street food.,19.0988,72.8267,4.5,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
8eed6fa4-8611-4188-966c-d4c80c851755,Carter Road Promenade,carter-road-promenade,Seaside walkway with cafés and buzzing evenings.,19.0663,72.8278,4.6,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
fb6e619a-1b69-4f05-b8bc-52a83a5e0eea,Linking Road Market,linking-road-market,Bustling street market for fashion & bargains.,19.0725,72.836,4.3,2,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
5b890ec1-d4e6-48d8-bd5d-780434065845,Global Vipassana Pagoda View,global-vipassana-pagoda-view,Golden pagoda visible from Gorai; meditation center.,19.2326,72.7926,4.1,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
ace353cf-6b8c-4c83-bbe6-04e82d6e0170,Sanjay Gandhi National Park,sanjay-gandhi-national-park,Vast urban park with trails and Kanheri Caves.,19.2147,72.9106,4.8,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
fd123ec6-b897-48ea-8292-a21d89c7ef0d,Powai Lake,powai-lake,Scenic lake with walking paths and birdlife.,19.1167,72.9042,4.7,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
c2feca89-49e4-4a60-8bc1-554ef67e3d86,Hanging Garden (Pherozeshah Mehta Garden),hanging-garden-pherozeshah-mehta-garden,Terraced gardens on Malabar Hill.,18.9565,72.8057,4.4,0,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
8f17287c-b9ee-4e72-9df6-6796e69e00e6,Mani Bhavan Gandhi Museum,mani-bhavan-gandhi-museum,Gandhi's Mumbai HQ; exhibits & library.,18.9622,72.8052,4.5,2,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
a6fe7384-62c2-489c-ad08-616d4340d1d9,Colaba Causeway,colaba-causeway,Lively street market with boutiques and cafés.,18.9159,72.8243,4.4,2,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
ba9aecd2-1cb3-46e5-8899-212bf84ce7d7,Taraporewala Aquarium,taraporewala-aquarium,Marine aquarium with tropical species.,18.9525,72.8172,4.5,1,,2025-11-11T04:56:06Z,2025-11-11T04:56:06Z
